Date,Open,High,Low,Close,Adj Close,Volume
4/2/1981,0.470982,0.473214,0.470982,0.470982,0.386769,7851200
4/3/1981,0.473214,0.475446,0.473214,0.473214,0.388602,4121600
4/6/1981,0.466518,0.466518,0.464286,0.464286,0.38127,5700800
4/7/1981,0.462054,0.462054,0.459821,0.459821,0.377604,2671200
4/8/1981,0.482143,0.486607,0.482143,0.482143,0.395935,5488000
4/9/1981,0.491071,0.493304,0.491071,0.491071,0.403267,3124800
4/10/1981,0.497768,0.5,0.497768,0.497768,0.408766,8366400
4/13/1981,0.497768,0.5,0.497768,0.497768,0.408766,4015200
4/14/1981,0.497768,0.5,0.497768,0.497768,0.408766,1663200
4/15/1981,0.475446,0.475446,0.473214,0.473214,0.388602,8512000
4/16/1981,0.448661,0.448661,0.446429,0.446429,0.366606,5969600
4/20/1981,0.459821,0.462054,0.459821,0.459821,0.377604,8836800
4/21/1981,0.491071,0.493304,0.491071,0.491071,0.403267,7134400
4/22/1981,0.508929,0.511161,0.508929,0.508929,0.417931,4748800
4/23/1981,0.522321,0.524554,0.522321,0.522321,0.428929,14504000
4/24/1981,0.522321,0.522321,0.517857,0.517857,0.425263,8764000
4/27/1981,0.515625,0.515625,0.513393,0.513393,0.421597,9632000
4/28/1981,0.506696,0.506696,0.504464,0.504464,0.414265,8047200
4/29/1981,0.5,0.5,0.497768,0.497768,0.408766,3410400
4/30/1981,0.506696,0.511161,0.506696,0.506696,0.416098,3152800
5/1/1981,0.506696,0.511161,0.506696,0.506696,0.416098,4138400
5/4/1981,0.506696,0.506696,0.504464,0.504464,0.414265,3612000
5/5/1981,0.504464,0.504464,0.502232,0.502232,0.412432,4384800
5/6/1981,0.491071,0.491071,0.488839,0.488839,0.401434,4737600
5/7/1981,0.495536,0.497768,0.495536,0.495536,0.406933,2340800
5/8/1981,0.5,0.502232,0.5,0.5,0.410599,1976800
5/11/1981,0.491071,0.491071,0.488839,0.488839,0.401434,2984800
5/12/1981,0.488839,0.495536,0.488839,0.488839,0.401434,1064000
5/13/1981,0.488839,0.493304,0.486607,0.486607,0.399601,1226400
5/14/1981,0.484375,0.484375,0.479911,0.479911,0.394102,1232000
5/15/1981,0.491071,0.497768,0.491071,0.491071,0.403267,1226400
5/18/1981,0.5,0.504464,0.5,0.5,0.410599,1041600
5/19/1981,0.493304,0.493304,0.491071,0.491071,0.403267,6356000
5/20/1981,0.506696,0.511161,0.506696,0.506696,0.416098,3320800
5/21/1981,0.535714,0.537946,0.535714,0.535714,0.439927,8052800
5/22/1981,0.560268,0.564732,0.560268,0.560268,0.460091,7856800
5/26/1981,0.560268,0.560268,0.558036,0.558036,0.458258,21336000
5/27/1981,0.589286,0.591518,0.589286,0.589286,0.48392,37374400
5/28/1981,0.589286,0.591518,0.589286,0.589286,0.48392,18496800
5/29/1981,0.591518,0.59375,0.591518,0.591518,0.485753,14845600
6/1/1981,0.591518,0.59375,0.591518,0.591518,0.485753,12812800
6/2/1981,0.564732,0.564732,0.5625,0.5625,0.461924,10108000
6/3/1981,0.5625,0.566964,0.5625,0.5625,0.461924,9861600
6/4/1981,0.573661,0.575893,0.573661,0.573661,0.471089,14016800
6/5/1981,0.566964,0.566964,0.564732,0.564732,0.463757,14420000
6/8/1981,0.546875,0.546875,0.544643,0.544643,0.44726,23374400
6/9/1981,0.555804,0.558036,0.555804,0.555804,0.456425,29898400
6/10/1981,0.5625,0.569196,0.5625,0.5625,0.461924,6305600
6/11/1981,0.587054,0.589286,0.587054,0.587054,0.482087,9744000
6/12/1981,0.582589,0.582589,0.580357,0.580357,0.476588,6451200
6/15/1981,0.580357,0.580357,0.578125,0.578125,0.474755,35940800
6/16/1981,0.569196,0.569196,0.566964,0.566964,0.46559,9312800
6/17/1981,0.560268,0.560268,0.558036,0.558036,0.458258,6893600
6/18/1981,0.558036,0.560268,0.555804,0.555804,0.456425,5762400
6/19/1981,0.542411,0.542411,0.540179,0.540179,0.443594,6876800
6/22/1981,0.522321,0.522321,0.520089,0.520089,0.427096,2710400
6/23/1981,0.529018,0.533482,0.529018,0.529018,0.434428,3757600
6/24/1981,0.520089,0.520089,0.515625,0.515625,0.42343,5756800
6/25/1981,0.526786,0.529018,0.526786,0.526786,0.432595,6064800
6/26/1981,0.524554,0.524554,0.520089,0.520089,0.427096,5947200
6/29/1981,0.506696,0.506696,0.502232,0.502232,0.412432,2648800
